kind,table,key,date,delta,note
void_pair,receipts,4155,2025-03-30,1,mis-ring of BB-BKG-007 voided at the till
void_pair,receipts,891,2025-01-18,1,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,10131,2025-08-01,2,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,14758,2025-11-09,1,mis-ring of SC-COO-002 voided at the till
void_pair,receipts,1003,2025-01-21,2,mis-ring of PP-PAS-011 voided at the till
void_pair,receipts,5299,2025-04-25,2,mis-ring of BN-COF-004 voided at the till
void_pair,receipts,8014,2025-06-19,2,mis-ring of SC-SAV-003 voided at the till
void_pair,receipts,5571,2025-04-30,1,mis-ring of AB-WIN-005 voided at the till
void_pair,receipts,7266,2025-06-04,2,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,15414,2025-11-26,1,mis-ring of BB-FBR-009 voided at the till
void_pair,receipts,428,2025-01-10,2,mis-ring of PP-CNG-004 voided at the till
void_pair,receipts,9066,2025-07-11,2,mis-ring of MP-PRM-009 voided at the till
void_pair,receipts,13438,2025-10-11,2,mis-ring of SC-CHO-012 voided at the till
void_pair,receipts,2585,2025-02-27,1,mis-ring of BN-COF-009 voided at the till
void_pair,receipts,10341,2025-08-05,1,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,11717,2025-09-05,1,mis-ring of SC-CHO-002 voided at the till
void_pair,receipts,12793,2025-09-28,2,mis-ring of PP-CNG-004 voided at the till
void_pair,receipts,8763,2025-07-05,1,mis-ring of MP-CHI-007 voided at the till
void_pair,receipts,11211,2025-08-24,2,mis-ring of MP-PRM-006 voided at the till
void_pair,receipts,7109,2025-05-31,2,mis-ring of SF-SPR-004 voided at the till
void_pair,receipts,2759,2025-03-01,1,mis-ring of PH-OTC-012 voided at the till
void_pair,receipts,3037,2025-03-07,1,mis-ring of DE-MIL-009 voided at the till
void_pair,receipts,12543,2025-09-21,1,mis-ring of FP-HER-008 voided at the till
void_pair,receipts,10659,2025-08-13,1,mis-ring of PP-CNG-007 voided at the till
void_pair,receipts,3166,2025-03-09,1,mis-ring of FF-ICE-008 voided at the till
void_pair,receipts,14190,2025-10-28,1,mis-ring of SF-SPR-008 voided at the till
void_pair,receipts,6761,2025-05-24,1,mis-ring of BB-FBR-009 voided at the till
void_pair,receipts,15832,2025-12-05,1,mis-ring of MP-PRM-007 voided at the till
void_pair,receipts,1214,2025-01-26,2,mis-ring of PP-CNG-006 voided at the till
void_pair,receipts,335,2025-01-08,1,mis-ring of SC-SAV-003 voided at the till
void_pair,receipts,7994,2025-06-18,2,mis-ring of PP-CNG-007 voided at the till
void_pair,receipts,12909,2025-09-30,1,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,9036,2025-07-11,2,mis-ring of FP-HER-008 voided at the till
void_pair,receipts,8568,2025-06-29,2,mis-ring of SF-SPR-004 voided at the till
void_pair,receipts,4162,2025-03-30,2,mis-ring of FP-HER-008 voided at the till
void_pair,receipts,15419,2025-11-27,1,mis-ring of FF-FVG-008 voided at the till
void_pair,receipts,7116,2025-05-31,2,mis-ring of PP-PAS-011 voided at the till
void_pair,receipts,4108,2025-03-29,1,mis-ring of BN-BTW-009 voided at the till
void_pair,receipts,14825,2025-11-12,1,mis-ring of PP-CNG-006 voided at the till
void_pair,receipts,1187,2025-01-25,1,mis-ring of PH-OTC-012 voided at the till
void_pair,receipts,9319,2025-07-16,2,mis-ring of PP-CNG-006 voided at the till
void_pair,receipts,3165,2025-03-09,1,mis-ring of MP-PRM-008 voided at the till
void_pair,receipts,6350,2025-05-17,2,mis-ring of BB-FBR-009 voided at the till
void_pair,receipts,7424,2025-06-07,1,mis-ring of SC-COO-010 voided at the till
