month,revenue,procurement,rent,wages,payroll_tax,utilities,storage,flyers,vat,credit_interest,credit_balance,cash,year,repairs,owner_draw,retained_earnings,capex,profit_tax_paid
1,60569.50000000011,41654.77854562873,1160.6613714012246,0.0,0.0,2236.7442129642586,141.41995669064346,400.0,2502.373965950601,0.0,0.0,15794.183290511915,2025,0.0,0.0,0.0,0.0,0.0
2,51809.320000000094,37636.91899879552,1160.6613714012246,0.0,0.0,2024.163332610759,145.1252817934321,400.0,1791.5556454758125,0.0,0.0,24445.078660436106,2025,0.0,0.0,0.0,0.0,0.0
3,65120.66000000001,58324.53265212446,1160.6613714012246,0.0,0.0,2245.8013989640685,99.4712931458727,80.0,891.830940949776,0.0,0.0,26763.44100385115,2025,0.0,0.0,0.0,0.0,0.0
4,61136.94000000002,47576.30351635663,1160.6613714012246,0.0,0.0,2177.826584236792,184.81278374564997,0.0,1590.5945583453604,0.0,0.0,35210.18218976436,2025,0.0,0.0,0.0,0.0,0.0
5,66850.10999999968,48062.14550763858,1160.6613714012246,0.0,0.0,2255.2041708941492,106.07138613820241,0.0,2121.8674603045174,0.0,0.0,48354.342293386566,2025,0.0,0.0,0.0,0.0,0.0
6,63387.22999999957,63103.36155447276,1160.6613714012246,0.0,0.0,2186.944757680039,86.28307048587637,0.0,198.2572893666702,0.0,0.0,45006.064249978306,2025,0.0,0.0,0.0,0.0,0.0
7,66470.46999999974,52735.38127881263,1160.6613714012246,0.0,0.0,2264.6463105617377,171.28924289831207,0.0,1595.1022294623717,0.0,0.0,53549.453816840236,2025,0.0,0.0,0.0,0.0,0.0
8,64700.24999999982,47387.36413665549,1160.6613714012246,0.0,0.0,2269.459914677341,97.12312323027761,0.0,1969.33531709194,0.0,0.0,65365.7599537833,2025,0.0,0.0,0.0,0.0,0.0
9,59386.3,59112.42487216474,1160.6613714012246,0.0,0.0,2200.7690156057065,77.49559783656021,0.0,191.01208439642596,0.0,0.0,62009.697012376986,2025,0.0,0.0,0.0,0.0,0.0
10,62165.39999999901,49051.57249058587,1160.6613714012246,0.0,0.0,3054.8024110674046,154.56506644005756,0.0,1530.0573788205447,0.0,0.0,69223.43829405904,2025,0.0,0.0,0.0,0.0,0.0
11,61478.01999999966,44439.86014858907,1160.6613714012246,0.0,0.0,2726.244415843293,83.8361236528742,0.0,1873.8019959673557,0.0,0.0,80417.05423860264,2025,0.0,0.0,0.0,0.0,0.0
12,59902.920000000166,60513.211404096386,1160.6613714012246,0.0,0.0,2655.5837279868906,194.11265861768487,0.0,55.824740876440956,0.0,0.0,75740.58033561995,2025,0.0,0.0,0.0,0.0,0.0
